CONNDATE|CONNTIME|CONNPROTO|CONNGW|GWGRID|GWDISTANCE|GWBEARING|GWPROTOCOL|GWSPEED|GWFREQ|COONNGWLOCATION|CONNXMIT|CONNXMITALL|CONNRCVD|CONNRCVDALL|ENDCONNDATE|ENDCONNTIME|outboxnum|ENDOUTBOXNUM|CONNFAILREASON|CONNFAILED
2023/09/06|18:55:33|ardop|N9SEO-10|[EM10IE]|1814|246|ARDOP|500|14.106.50||0|0|0|0|2023/09/06|18:58:04|1|1||0
||||[CM88QG]|3698|284|ARDOP|2000|14.107.40||0|0|0|0|2023/09/06|18:58:47|1|1| Connect timeout|1
||||[EM12HL]|1694|254|ARDOP|2000|14.100.50||0|0|0|0|2023/09/06|18:59:31|1|1| Connect timeout|1
2023/09/06|18:59:56|ardop|W5RGV|[EL16DE]|2121|237|ARDOP|2000|14.108.50||0|0|0|0|2023/09/06|19:01:33|1|1||0
||||[QG64KQ]|14892|270|ARDOP|2000|14.085.00||0|0|0|0|2023/09/06|19:02:16|1|1| Connect timeout|1
||||[CN73SC]|3758|293|ARDOP|2000|14.107.50||0|0|0|0|2023/09/06|19:02:59|1|1| Connect timeout|1
||||[EL07GM]|2158|243|ARDOP|2000|14.100.70||0|0|0|0|2023/09/06|19:03:45|1|1| Connect timeout|1
||||[DM04TA]|3460|275|ARDOP|2000|14.106.50||0|0|0|0|2023/09/06|19:04:30|1|1| Connect timeout|1
||||[EK09JI]|2787|227|ARDOP|2000|14.091.40||0|0|0|0|2023/09/06|19:05:15|1|1| Connect timeout|1
||||[QF21MQ]|16121|255|ARDOP|2000|14.103.50||0|0|0|0|2023/09/06|19:05:58|1|1| Connect timeout|1
||||[EM60VL]|1016|216|ARDOP|500|14.063.50||0|0|0|0|2023/09/06|19:06:42|1|1| Connect timeout|1
||||[DM79HQ]|2202|283|ARDOP|2000|14.106.50||0|0|0|0|2023/09/06|19:07:25|1|1| Connect timeout|1
||||[CN73WX]|3721|295|ARDOP|2000|14.103.00||0|0|0|0|2023/09/06|19:08:10|1|1| Connect timeout|1
||||[EM68SR]|572|280|ARDOP|500|14.106.50||0|0|0|0|2023/09/06|19:08:53|1|1| Connect timeout|1
2023/09/06|19:09:23|ardop|KD0SFY|[DM78OV]|2158|280|ARDOP|500|14.093.00|DM78OV|1|1|0|0|2023/09/06|19:11:54|1|0||0
||||[FM07BC]|102|176|ARDOP|2000|14.096.60||0|0|0|0|2023/09/06|19:23:14|1|1| Connect timeout|1
||||[EM83II]|600|211|ARDOP|2000|14.102.30||0|0|0|0|2023/09/06|19:23:57|1|1| Connect timeout|1
||||[FM07BC]|102|176|ARDOP|2000|14.096.60||0|0|0|0|2023/09/06|19:24:42|1|1| Connect timeout|1
||||[EM83II]|600|211|ARDOP|2000|14.102.30||0|0|0|0|2023/09/06|19:25:26|1|1| Connect timeout|1
||||[EL16CE]|2127|237|ARDOP|2000|14.108.50||0|0|0|0|2023/09/06|19:26:09|1|1| Connect timeout|1
||||[EM60VL]|1016|216|ARDOP|500|14.063.50||0|0|0|0|2023/09/06|19:26:52|1|1| Connect timeout|1
||||[CM88QG]|3698|284|ARDOP|2000|14.107.40||0|0|0|0|2023/09/06|19:27:37|1|1| Connect timeout|1
||||[CN73SC]|3758|293|ARDOP|2000|14.107.50||0|0|0|0|2023/09/06|19:28:21|1|1| Connect timeout|1
||||[DM34OA]|2971|272|ARDOP|2000|14.101.50||0|0|0|0|2023/09/06|19:29:04|1|1| Connect timeout|1
||||[QG56FJ]|15008|274|ARDOP|2000|14.110.00||0|0|0|0|2023/09/06|19:29:48|1|1| Connect timeout|1
||||[CN85LH]|3625|297|ARDOP|500|14.111.00||0|0|0|0|2023/09/06|19:30:31|1|1| Connect timeout|1
||||[EM60VL]|1016|216|ARDOP|2000|14.102.00||0|0|0|0|2023/09/06|19:31:14|1|1| Connect timeout|1
||||[RF64TU]|13617|248|ARDOP|2000|14.135.50||0|0|0|0|2023/09/06|19:31:58|1|1| Connect timeout|1
||||[DL90HQ]|2819|233|ARDOP|2000|14.083.50||0|0|0|0|2023/09/06|19:32:41|1|1| Connect timeout|1
||||[EL16DF]|2118|237|ARDOP|2000|14.108.50||0|0|0|0|2023/09/06|19:33:24|1|1| Connect timeout|1
||||[EK09JI]|2787|227|ARDOP|2000|14.091.40||0|0|0|0|2023/09/06|19:34:07|1|1| Connect timeout|1
||||[EK44RN]|2809|205|ARDOP|2000|14.109.00||0|0|0|0|2023/09/06|19:34:51|1|1| Connect timeout|1
||||[CM88QG]|3698|284|ARDOP|500|14.062.40||0|0|0|0|2023/09/06|19:35:36|1|1| Connect timeout|1
||||[RF64TU]|13617|248|ARDOP|2000|14.135.50||0|0|0|0|2023/09/06|19:36:21|1|1| Connect timeout|1
||||[EL07GM]|2158|243|ARDOP|2000|14.100.70||0|0|0|0|2023/09/06|19:37:06|1|1| Connect timeout|1
||||[DM88BX]|2079|280|ARDOP|2000|14.108.00||0|0|0|0|2023/09/06|19:37:51|1|1| Connect timeout|1
